DT_MAJ_GDUNO,CD_ORGNS,NOM_COURT,NOM_OFFCL,ADRS_GEO_L1_GDUNO,ADRS_GEO_L2_GDUNO,CD_MUNCP,NOM_MUNCP,STAT_MUNCP,CD_POSTL_GDUNO,TYPE_ORGNS,RESEAU,SITE_WEB,COORD_X_LL84,COORD_Y_LL84,NO_TEL
,485500,Campus Notre-Dame-de-Foy,Campus Notre-Dame-de-Foy,"5000, rue Clément-Lockquell ",,23072,Saint-Augustin-de-Desmaures,V,G3A1B3,Établissement d'enseignement privé,Privé,https://www.cndf.qc.ca,-71.399553,46.736869,418 872-8041
,493500,Éc. Montessori International Blainville,École Montessori International Blainville inc.,"325, chemin du Bas-de-Sainte-Thérèse",,73015,Blainville,V,J7A0A3,Établissement d'enseignement privé,Privé,https://www.montessoriinternationalblainville.com,-73.798388,45.651242,450 965-7878
,497500,École du Routier G.C.,École du Routier G.C.,"2357, rue Jules-Vachon",,37067,Trois-Rivières,V,G9A5E1,Établissement d'enseignement privé,Privé,https://www.ergc.ca,-72.665648,46.377337,819 379-9209
,507500,École nationale de cirque,École nationale de cirque,"8181, avenue du Cirque",,66023,Montréal,V,H1Z4N9,Établissement d'enseignement privé,Privé,https://ecolenationaledecirque.ca/,-73.613646,45.561794,514 982-0859
,508500,L'École des Premières Lettres,L'École des Premières Lettres,"5210, rue Waverly",,66023,Montréal,V,H2T2X7,Établissement d'enseignement privé,Privé,https://www.premiereslettres.com,-73.596437,45.522036,514 272-2229
,509500,Collège Jacques-Prévert,Collège Jacques-Prévert,"12349, rue De Serres",,66023,Montréal,V,H4J2H1,Établissement d'enseignement privé,Privé,https://www.collegejacquesprevert.ca,-73.719485,45.533779,514 336-2330
,511500,École JMC,École JMC,"2205, rue de l'Église",,66023,Montréal,V,H4M1G5,Établissement d'enseignement privé,Privé,https://www.ecolejmc.ca,-73.689494,45.503697,514 956-9559
,512500,École internationale des Apprenants,École internationale des Apprenants,"4505, boulevard Henri-Bourassa Ouest",,66023,Montréal,V,H4L1A5,Établissement d'enseignement privé,Privé,https://www.ecoleia.ca,-73.703811,45.524504,514 334-4153
,513500,Académie des pompiers,Académie des pompiers,"9401, côte des Saints",,74005,Mirabel,V,J7N2X4,Établissement d'enseignement privé,Privé,https://www.academiedespompiers.ca,-74.092194,45.652927,450 258-4460
,515500,L'École l'Eau-Vive,L'École l'Eau-Vive,"4690, avenue Chauveau",,23027,Québec,V,G2C1A7,Établissement d'enseignement privé,Privé,https://www.ecoleleauvive.com,-71.359581,46.826126,418 843-5345
,523500,École oraliste de Québec,École oraliste de Québec,"1090, boulevard René-Lévesque Ouest",,23027,Québec,V,G1S1V5,Établissement d'enseignement privé,Privé,https://www.ecoleoraliste.qc.ca,-71.243077,46.79544,418 263-5189
,524500,Collège Nouvelles Frontières,Collège Nouvelles Frontières,"250, rue Gamelin",,81017,Gatineau,V,J8Y1W9,Établissement d'enseignement privé,Privé,https://www.collegenf.ca,-75.749,45.443957,819 561-8922
,526500,École Al-Houda,École Al-Houda,"7085, chemin de la Côte-Des-Neiges",,66023,Montréal,V,H3R2M1,Établissement d'enseignement privé,Privé,https://www.ecolealhouda.ca,-73.640135,45.505181,514 341-2235
,528500,Collège CDI,Collège CDI Administration. Technologie. Santé,"1259, rue Berri, 3e étage",,66023,Montréal,V,H2L4C7,Établissement d'enseignement privé,Privé,https://www.collegecdi.ca,-73.558977,45.51364,514 849-1234
,534500,Collège Herzing,Collège Herzing,"1616, boulevard René-Lévesque Ouest",,66023,Montréal,V,H3H1P8,Établissement d'enseignement privé,Privé,https://www.herzing.ca,-73.575236,45.493246,514 935-7494
,547500,École Les Jeunes Explorateurs,École Les Jeunes Explorateurs,"210, rue Denison Est",,47017,Granby,V,J2H2R6,Établissement d'enseignement privé,Privé,https://www.elje.ca,-72.705486,45.390826,450 991-1817
,548500,Académie St-Margaret,Académie St-Margaret,"383, chemin des Anglais",,64015,Mascouche,V,J7L3P9,Établissement d'enseignement privé,Privé,https://www.academiesm.ca,-73.651656,45.732831,450 477-5172
,550500,École trilingue Vision Trois-Rivières,École trilingue Vision Trois-Rivières,"3550, rue Marguerite-Seigneuret",,37067,Trois-Rivières,V,G9B0M5,Établissement d'enseignement privé,Privé,https://troisrivieres.ecolevision.com,-72.625563,46.322813,819 377-3210
,552500,École trilingue Vision Rive-Sud,École trilingue Vision Rive-Sud,"1165, boulevard Guillaume-Couture",,25213,Lévis,V,G6W0S2,Établissement d'enseignement privé,Privé,https://ecolevision.com,-71.266083,46.734751,418 839-7575
,553500,École Vision Sherbrooke,École Vision Sherbrooke,"5100, rue Henri-Labonne",,43027,Sherbrooke,V,J1N1J1,Établissement d'enseignement privé,Privé,https://www.ecolevision.com,-71.993428,45.369933,819 821-1133
